ConversationStateId;ConversationType;IsInitialState;DefaultDialogue;RequiredFaction;RequiredLevel;RequiredAchievement;LinearObjectiveId1;LinearObjectiveId2;LinearObjectiveId3;LinearObjectiveId4;LinearObjectiveId5;LinearObjectiveId6;LinearObjectiveId7;LinearObjectiveId8;LinearObjectiveId9;LinearObjectiveId10;TopicId1;TopicId2;TopicId3;TopicId4;TopicId5;TopicId6;TopicId7;TopicId8;TopicId9;TopicId10;ConversationService1;ConversationService2;ConversationService3
0601_00_Watcher;Linear_Objective;true;@NPC_DefaultDialogue_0601_00_Watcher;;0;;;;;;;;;;;;;;;;;;;;;;;;
0601_01_Watcher;Linear_Objective;false;@NPC_DefaultDialogue_0601_01_Watcher;;0;S_getoffbeach;0601_0101_culldrowned;;;;;;;;;;;;;;;;;;;;;;
0601_01a_Watcher;Linear_Objective;false;@0601_0102_campandtools_proposal;;0;S_culldrowned;0601_0102_campandtools;;;;;;;;;;;;;;;;;;;;;;
0601_01b_Watcher;Linear_Objective;false;@0601_0103_boarproblem_proposal;;0;S_campandtools;0601_0103_boarproblem;;;;;;;;;;;;;;;;;;;;;;
0601_02_Watcher;Linear_Objective;false;@NPC_DefaultDialogue_0601_02_Watcher;;0;S_boarproblem;0601_0104_xmarksthespot;;;;;;;;;;0601_Watcher_Death;;;;;;;;;;;;
0601_03_Watcher;Linear_Objective;false;@NPC_DefaultDialogue_0601_03_Watcher;;0;S_xmarksthespot_p1;0601_0107_preciouscargo;0601_0102_campandtools;;;;;;;;;0601_Watcher_Corruption;;;;;;;;;;;;
0601_04_Watcher;Linear_Objective;false;@NPC_DefaultDialogue_0601_04_Watcher;;0;S_preciouscargo;0601_0108_introtosettlement;0601_0102_campandtools;;;;;;;;;;;;;;;;;;;;;
0601_05_Watcher;Linear_Objective;false;@NPC_DefaultDialogue_0601_05_Watcher;;0;S_introtosettlement;0601_0102_campandtools;0601_0103_boarproblem;;;;;;;;;;;;;;;;;;;;;
0601_06_Watcher;Linear_Objective;false;@NPC_DefaultDialogue_0601_06_Watcher;;0;06_Quest_02;;;;;;;;;;;;;;;;;;;;;;;
0604_00_Overseer;Linear_Objective;true;@NPC_DefaultDialogue_0604_00_Overseer;;0;;;;;;;;;;;;;;;;;;;;;;;;
0604_01_Overseer;Linear_Objective;false;@NPC_DefaultDialogue_0604_01_Overseer;;0;S_introtosettlement;0604_0101_warnthemagistrate;;;;;;;;;;;;;;;;;;;;;;
0604_02_Overseer;Linear_Objective;false;@NPC_DefaultDialogue_0604_02_Overseer;;0;S_introtooverseer;0604_0104_overseersettlement;;;;;;;;;;;;;;;;;;;;;;
0604_03_Overseer;Linear_Objective;false;@NPC_DefaultDialogue_0604_03_Overseer;;0;S_overseersettlement;0604_0103_introtoartificer;;;;;;;;;;;;;;;;;;;;Community_Board;;
0604_04_Overseer;Linear_Objective;false;@NPC_DefaultDialogue_0604_04_Overseer;;0;S_factionhandoff;0604_0203_abominableluck;0604_0799_TheHermitWW;;;;;;;;;;;;;;;;;;;Community_Board;;
